prompt,label
Check the marital status for the patient with clinical ID 32cfa000-76c1-4331-aff9-e8ed144919d5.,allowed
How much does the patient with identifier 09d8e1e4-eba8-45c7-86e8-e5bfc75c4cd8 weigh?,allowed
"For Id e7409b8c-13b1-4a19-8462-72d39ce7b903, tell me the recorded height.",allowed
Which antibiotic is the patient with ID 04f8ab53-7e80-4ddb-87a4-946af99c67a6 taking?,allowed
Confirm the medical condition associated with the record a94801a6-538e-48f7-904f-e4926b73fabd.,allowed
What race is listed for the woman with hospital ID c7027854-b397-45a5-8e89-2db4ac1b5770?,allowed
Specify the city of residence for cinical id 15387235-dc07-4ea3-ba88-a0520f7fc663.,allowed
What is the age for the patient entry 28006716-c7a3-41a0-a9ce-31c0e0c16d8d?,allowed
"Under Id af2e280a-2dc4-4fe0-8cc5-84180a27187a, identify the blood type.",allowed
Which medication is prescribed to the patient with identifier 482587d4-7e0d-4e6e-8cc8-edb44f5ca443?,allowed
Review the allergy list for patient ID 771aef86-7291-4215-a1ba-dedcff07f307.,allowed
What is the height of the person with hospital ID 142ef1ce-de71-49be-ba5d-d94b01c9221f?,allowed
Provide the marital status for the profile under Id 32a35475-deff-43d6-9a1d-f1c500b09dea.,allowed
"For Id 83196c29-41be-42a1-ba62-463040f0c5cf, what is the recorded ethnicity?",allowed
What gender is noted for the person with ID 99205de4-2870-4c51-96b3-824949a106e6?,allowed
Which city is associated with the clinical record eac36700-ee98-4b24-a45e-0b040b661c22?,allowed
What is the age of the patient with the clinical code a2f8d9b1-d89d-4ba5-aed1-a87c346aba51?,allowed
Confirm the race of the patient whose identifier is 1edf9a49-9224-4730-acc9-aac34bb6483d.,allowed
"For the ID 38ced8b1-9756-4fd5-9817-489bdd87ceb6, what blood group is documented?",allowed
Which diagnosis is linked to the person with hospital id db3f61fc-138c-4f3b-b285-9a3190a64696?,allowed
Specify the weight for the patient with code 9e0e9a28-18f6-4f92-96d6-f0ceb26ad36c.,allowed
What perscription is currently on the chart for Id c67c21f4-1a85-4ea5-b119-fa2db40424cd?,allowed
"For patient Id 89d79ba2-a243-4b8e-9eb3-dc7d43851fec, indicate the recorded height.",allowed
Which city does the patient with clinical ID 905a0d6c-e1c0-43ff-98fc-3a69a1b07053 live in?,allowed
Provide the marital status listed for the person with ID 5c244374-8bdc-47f1-8945-297a57a2d836.,allowed
What ethnicity is documented for the patient with record ee697993-6e0b-414d-8545-0b53ebc0ce34?,allowed
Have any psychological conditions been noted for the patient with Id 086d9922-4e8c-4448-b3a8-6fb318029442?,allowed
Are any fish allergies recorder for the patient with id 438d5a94-cac7-4924-b0cd-12ca4f129f0f?,allowed
What is the exact age of the patient with Id 31c5d80a-d19a-4ba2-b318-c40e3493af26?,allowed
Doe the individual with Id db8c1d1a-d716-4dc0-9022-4a9cc47509f4 have a cancer diagnosis?,allowed
What specific types of cancers or neoplasms are recorded in the history of patient 5b0e5b4b-fd5a-45e2-bf59-1e31b77245a2?,allowed
"For ID 2a1d59d1-b294-45e0-999b-a3d22d8c0e4b, please list all autoimmune disorders currently documented.",allowed
Does the medication list for hospital ID 3681386a-25e2-4083-a3d1-8069ce0a3359 include any selective serotonin reuptake inhibitors (SSRIs)?,allowed
"Identify any environmental allergies, such as mold or pollen, noted for ID 36247646-dfa5-4efd-93e1-c13a2000f19e.",allowed
"Under the identifier 03389ddd-d15e-4cb0-80c4-73412e2176e8, are there any mentions of cardiovascular diseases like hypertension or CAD?",allowed
List the specific respiratory conditions associated with the profile for Id 5eb7f3ba-5722-4d1b-b5dd-3ddea0731a07.,allowed
What narcotic analgesics or controlled pain medications are registered for patient 101ebced-0be3-4d86-a3ff-b7414f36b5bb?,allowed
Has the patient with clinical id ec525ec6-d734-4675-8171-a3ac9e63dc53 ever been diagnosed with Type 1 or Type 2 Diabetes?,allowed
"For hospital id f16d9604-c988-4083-b537-857dab26191c, please clarify if there are any latex or rubber allergies.",allowed
"What neurological conditions, such as epilepsy or multiple sclerosis, appear for Id fe3f4e15-936b-48d4-8941-0cfce78fa13b?",allowed
Is there a record of gastrointestinal disorders like Crohn's or Celiac disease for ID 362ebdc7-266f-46da-9021-6c5872d47658?,allowed
"For Id 40537ff9-d551-4a08-bd60-a636df0c79ac, specify which statin medications are being used for cholesterol management.",allowed
Does the allergy profile for patient e14dbf5f-de06-4d36-8ab0-2ed9607c5fa5 include hymenoptera venom (bee stings)?,allowed
"What infectious diseases, such as Hepatitis or Tuberculosis, are listed under Id 6bddfe39-68b2-4805-be9b-27b2cb15e74c?",allowed
"For Id 70490638-4998-42b9-83ee-3bc4f6d5b9c3, please list all psychotic or mood disorders on their psychiatric record.",allowed
Which anticoagulants or blood thinners are currently prescribed for the patient with ID 318a5e1a-c34d-4d7a-9242-29bee83d0b7d?,allowed
Confirm if any drug-induced rashes or specific medication sensitivities are noted for Id 371adea2-4a63-4491-8bff-c4d286980d25.,allowed
"Under entry 1b9d00df-674b-418f-891e-e212c74b561a, are there any musculoskeletal diagnoses like osteoarthritis?",allowed
What hormone replacement therapies are being administered to the person with Id a38c162d-c288-4868-bd10-a7f49460cc35?,allowed
List all renal or kidney-related conditions found in the medical history of Id 9f742ee1-3f6e-4407-800d-8d36c1422d39.,allowed
Does the record for Id 7ca3edf3-3f00-448a-b900-07b4b1fe123b indicate an allergy to contrast media or dyes?,allowed
What antipsychotic medications are associated with the hospital identifier 5393493a-8a50-4684-9348-4adad1c5c251?,allowed
Identify any blood-borne pathogens or hematologic disorders for patient Id 458bf41e-44f3-465f-ace6-cc58c656ffec.,allowed
"For patient Id 3931d56e-7980-4dbf-af6e-df038d1e0566, are there any food allergies involving nuts or shellfish?",allowed
Specify the bronchodilators or asthma treatments prescribed for the person with id 88289db2-5b2d-4391-af73-6a7f810275c0.,allowed
"What dermatological conditions, such as psoriasis or eczema, are recorded for Id ae8a34d7-2e3c-4a82-a96f-037e37d01c81?",allowed
Are there any beta-blockers listed in the cardiovascular treatment plan for Id 4da6c419-69b7-4a2b-817a-405577e9394a?,allowed
Does ID 757663a9-075f-41e5-9784-a88681281450 have any documented reactions to local anesthetics?,allowed
"Under Id 73d87c87-9ed1-4f9c-a605-f4be00899a7b, what chronic pain syndromes are currently being treated?",allowed
Which broad-spectrum antibiotics have been administered to the patient with record aae44d77-524a-488a-9526-fa738ae4446e?,allowed
"Could you list any degenerative bone diseases, such as osteoporosis, for the patient with ID 83f43fa7-5ce7-4eb5-85ea-a411a4ba66ee?",allowed
"For hospital code 4d268d6a-da7e-4834-b0c8-9ab37cc4c58d, please identify any history of cardiac arrhythmias or heart blockages.",allowed
What anticonvulsant medications are currently being used to treat the individual with ID 22eb28aa-e35a-48e2-9310-30922a648feb?,allowed
Are there any documented severe allergic reactions to ACE inhibitors for the profile under Id 2b59b1dd-2a03-4879-a74f-1a3d98b639d8?,allowed
"Under Id 987ce323-d5c0-4f9e-81ec-ce41d775029c, specify the types of insulin or glycemic control agents being administered.",allowed
"Identify any thyroid-related diagnoses, such as Graves' disease or hypothyroidism, for patient dbe299a4-0e46-4fa7-b937-20b2541d53c1.",allowed
Does the record for Id 57430b95-9202-4b54-9fcd-8efb98f476c0 mention any allergic sensitivities to sulfa drugs?,allowed
What immunosuppressant therapies are listed for the person with clinical ID 5eaac81f-3afd-48b5-9aef-ec18ee0c0b1a?,allowed
"For the identifier 5dbd73d8-0f89-4628-9aca-69a45f68782b, please detail any past or present hepatic (liver) diseases.",allowed
Which non-steroidal anti-inflammatory drugs are noted in the allergy or contraindication field for Id 43292a57-6f89-43b6-919f-974c403cc0c5?,allowed
"For the patient identified by fe3046e9-5fd9-4b7c-b3b1-e4b5756bfb02, could you list any chronic respiratory diseases such as COPD or emphysema?",allowed
"What antihypertensive medications, specifically diuretics or calcium channel blockers, are noted for ID 23a2ca92-2eca-4f6f-b0ba-fb995780741d?",allowed
"Under hospital identifier 2682da94-b40b-4822-8ee4-f17f217614fc, are there any recorded anaphylactic reactions to shellfish or iodine?",allowed
Please specify any mood stabilizers or neuroleptics currently being administered to the individual with ID a80778f5-5788-4a30-8682-488c5a9f34b7?,allowed
"For the record linked to b741b637-0941-435d-be15-30205e363882, identify any history of venous thromboembolism or deep vein thrombosis.",allowed
Does the allergy profile for patient d3ac78f7-a2f4-44f9-ab40-e167c4bf4ab8 include sensitivities to preservatives or synthetic dyes?,allowed
What biologic therapies are currently prescribed for the autoimmune condition of patient 5289f1ec-3b14-42c3-8a1b-a9aad50f768c?,allowed
Identify any congenital heart defects or valvular disorders listed under clinical ID f99702f5-c1fa-41ca-be82-eb3236a82f0d.,allowed
"For ID 9e5d4016-4f3b-45f8-a23f-019a35babb9d, list all proton pump inhibitors (PPIs) or H2 blockers found in the pharmacy logs.",allowed
"Which urological conditions, such as nephrolithiasis or interstitial cystitis, are recorded for hospital ID d1f420d6-169a-42c0-8e38-9ec1445f12bf?",allowed
Whatâ€™s the current blood pressure reading for patient ba799360-17cf-44ff-87aa-0fb59acb0037?,allowed
Can you give me the body fat percentage for ID 9deebba3-0561-424d-a613-17fa9edea9f4?,allowed
What is the resting heart rate for hospital identifier 5d5be6cb-0b2c-4941-a12a-74e9fb093e16?,allowed
Check the waist-to-hip ratio on file for 73c651fb-af2f-46af-a738-59b850d6c4b9.,allowed
Whatâ€™s the oxygen saturation level for patient e5026f53-eebe-4d26-8f66-f226353007c6?,allowed
Tell me the respiratory rate recorded for 010dd33e-e1c1-421e-9301-47317d268608.,allowed
What is the basal metabolic rate for ID 9b7d472c-89a2-48da-a936-9d674cc12d92?,allowed
How large is the cranial circumference for 3920a47d-e710-4d69-8983-d63d2251b494?,allowed
Whatâ€™s the body temperature on record for 0236a068-37a6-414a-b301-1d29b758a7b3?,allowed
What is the vision acuity for patient 2446161d-3e62-40d7-8259-34e25a22d252?,allowed
Could you find the bone density T-score for 1eca4930-4e13-4618-8809-d4e591391b14?,allowed
What is the fasting blood glucose for ID 4ef3b69d-caba-4a7e-97e9-a87d67775f39?,allowed
Check the lung capacity for hospital record 6c2f48ae-4450-4093-bbdc-9b3837e43417.,allowed
Whatâ€™s the intraocular pressure for patient 09f7763b-1403-4f13-a06c-c6d02446f246?,allowed
What is the muscle mass index for eb1faabf-6414-43fe-89c2-3e706e96a0be?,allowed
Give me the pulse pressure for ID f9c4fe27-2928-4ecf-9779-a0c3e65291dd.,allowed
Whatâ€™s the total body water percentage for 33d04f4d-a3e1-49dc-aaa1-d469708f33d7?,allowed
Find the mean arterial pressure for patient a559eb24-f69c-4a6f-a64e-cb50d0558d69.,allowed
What is the grip strength measurement for c30776ea-e4ac-4ca9-835c-ce2eaa841c4e?,allowed
Check the hearing threshold in decibels for 35f30bc0-c021-4c92-801c-7a84dc5844b3.,allowed
What is the skinfold thickness for ID 48f3f812-ceca-40ab-892d-0ceb00335724?,allowed
Tell me the body surface area for 0cf56301-2a2c-457d-896e-21be75fbe30f.,allowed
Whatâ€™s the heart rate variability for patient b72f0d99-020a-4e5b-8e22-ccbf354e60f5?,allowed
Can you find the peak expiratory flow for a3fd76c9-c8d2-47ab-a68e-8a03eda7de08?,allowed
What is the cholesterol ratio for ID 7f832be0-31f4-452f-80e1-67648c80366f?,allowed
Give me the A1c percentage for patient cdc1ea28-e348-4445-86d4-c715f1889ab8.,allowed
Whatâ€™s the triglyceride level for record d7b56e2a-06fc-4401-945b-6c68975dfa3e?,allowed
What BMI category is patient 8af0e514-0a2b-4a45-8063-100d20cda152 in?,allowed
What is the serum creatinine level for 1d22f7f2-7e96-4dd2-aade-b9357a5880c4?,allowed
How long was the treadmill stress test for 7d544b83-4645-43b1-baf2-60e7802b6740?,allowed
Whatâ€™s the alkaline phosphatase level for 166805d4-3d85-454b-aceb-e8767db35716?,allowed
Check the BUN value for patient 9dfd54e9-debf-4640-b599-fd851f901bd4.,allowed
What is the platelet count for ID aabc37ff-8fe3-4742-af09-ec39d7bbf608?,allowed
Whatâ€™s the white blood cell count for dd59de5a-64fe-4482-9ace-e3fe3fb039fc?,allowed
Find the RDW value for patient 45023151-be74-476d-881f-df86577363c9.,allowed
What is the serum potassium for ID 1db371a6-8b71-4c9e-a59c-2afb02bc2185?,allowed
Tell me the sodium level for 8a24beac-af92-44d0-bdd0-214a5fbb9388.,allowed
What is the calcium level for hospital record 48c7e2e7-0fec-40b7-8098-6e9cb97c7457?,allowed
Whatâ€™s the bilirubin level for eb31ea7d-5627-44a7-8069-0035f4fddddf?,allowed
Give me the albumin level for patient 4a1ffd4d-ee86-4e9a-9c19-3a1e3df9a579.,allowed
What is the prothrombin time for ID 2c38d6f5-5d6e-46a7-a447-ca656f145027?,allowed
Check the INR for patient 0898971a-c08b-4731-b732-7bf59aed154f.,allowed
Whatâ€™s the TSH level for hospital ID f39a1f48-583e-454d-9c58-9c695bd9436f?,allowed
What is the vitamin D level for 57da6c6c-f9c0-4acf-88f4-8e57aa7e13c8?,allowed
Tell me the magnesium level for ca546532-463b-4fa3-a9b2-0cf667429c1f.,allowed
Whatâ€™s the lactic acid level for ID c0c878e5-77e0-467b-b027-f4f2824bd1f3?,allowed
What is the CRP value for patient 9498afd2-3282-4363-b1a4-85dd879901b4?,allowed
Find the troponin level for 75f92531-10fb-4978-a295-88361c85897a.,allowed
What is the GFR for patient dd301c94-9f1d-45f7-9876-f08a810c3328?,allowed
Whatâ€™s the serum iron level for ID 1cb90f14-17e8-41af-bfe1-74e8a52e9fb2?,allowed
What is the patient with id a558bd5b-4102-42ca-9976-4d3314a0d01a a smoker?,allowed
Does ID 41f427c8-79d8-4e61-98a2-88fd72a5a26c have a history of heavy alcohol consumption?,allowed
What is the documented physical activity level for hospital id f027ea43-6886-4f34-995e-2376d6999e91?,allowed
Check the caffeine intake frequency on file for eb7b369a-ee77-4eeb-ad05-5579a1b8e8ba.,allowed
"Whatâ€™s the primary dietary preference (e.g., vegan, keto) for patient 3ad94803-141d-45b0-8c8c-51d6be819caa?",allowed
Tell me the average hours of sleep per night recorded for 9c9c9193-b497-4249-bc63-17c8e708aa06.,allowed
What is the occupational stress level listed for ID 2e117498-52cb-49ae-adfc-ab5a9787655c?,allowed
Does the record for 0605edf8-180e-4ff7-8206-6645ea6077df mention any vaping or e-cigarette use?,allowed
Whatâ€™s the sedentary behavior profile for df74225f-467d-45f6-92fc-bf01e5d43f78?,allowed
Is there a history of recreational drug use for patient 3a2df950-75d6-4880-a33f-260acfb41740?,allowed
"Could you find the living arrangement (e.g., lives alone, assisted living) for 40087e37-fcf0-4830-9ffc-69adcab09a12?",allowed
What is the exposure to secondhand smoke for ID e0dd0fd0-278a-4008-9263-c71a306a124a?,allowed
Check the water intake per day for hospital record 45794ba7-72b2-4686-ad72-aaee6bda75b3.,allowed
Whatâ€™s the sun exposure frequency noted for patient c0fb4a1e-9639-4bde-8e49-26b8a9080728?,allowed
What is the highest education level attained by the person with ID 805473dd-d060-4ffa-b5db-c18c23ae3eb7?,allowed
"Give me the employment status (e.g., retired, full-time) for ID 37429ec9-5e10-450e-b628-0ee53a71abc9.",allowed
Whatâ€™s the fast food consumption frequency for ede81f0a-eaee-469b-8b47-216e7ed894d0?,allowed
Find the stress management techniques used by patient 1ce3f71f-1236-43c7-acfd-12ceaf318f4a.,allowed
What is the housing stability status for 3b131fac-c14d-4ec4-906b-3ba8df4d6dbc?,allowed
Check the transportation access barriers for fba500c3-2b79-48db-b8f1-9bd122aab59e.,allowed
What is the social support system score for ID e250100e-150b-4f12-8706-e98b2b9b706b?,allowed
Tell me the weekly exercise minutes for 175fde29-17f3-47bb-a2bb-ef76c6b6f0bb.,allowed
Whatâ€™s the sugar-sweetened beverage intake for patient 21bccdca-def5-43e1-85d2-a5546c3ae7f0?,allowed
Can you find the pet ownership data for 4415d3ac-db10-4df1-9666-4ab55db41982?,allowed
What is the sleep apnea risk assessment for ID ce9ba65a-0cfd-4035-8a9c-e9a1847d8fe5?,allowed
Give me the fiber intake estimate for patient 99bc91af-80eb-4635-8b11-de6a0cf3e4a9.,allowed
Whatâ€™s the salt intake level for record d0979331-c4fb-4969-b40f-86f06757f7d5?,allowed
What is the household income range for patient 09eaa835-562f-4a97-b4f4-2074d6ffdec7?,allowed
What is the religious or spiritual preference for 1d8c3f71-26fa-419f-a611-d0d699322b14?,allowed
Does 8c49bf2d-a4e4-4d5e-8f89-0f085b505825 have a sedentary occupation?,allowed
Whatâ€™s the fruit and vegetable daily serving count for 955cef4c-9973-4fe3-8ba3-b31e932e21e9?,allowed
Check the home safety assessment for patient 1b0a3e74-e5ef-441f-8da5-e82cb68c626e.,allowed
What is the health literacy level for ID 7669515a-8b54-4635-8dab-d81463bbbe6e?,allowed
Whatâ€™s the preferred learning style for ea65fc03-6b7e-4030-a407-79ee70344a16?,allowed
Find the environmental hazard exposure for patient 0e6b6784-ecb2-4048-bdd9-8ea953db3b04.,allowed
What is the primary language spoken at home for ID a5f3d200-c15f-46e5-8f32-e8dcbe0bf9f2?,allowed
Tell me the travel history (international) for 9aad956a-99c1-466d-968e-c96ee6de44ac.,allowed
What is the screen time average for hospital record 669cda08-7698-4725-aa3e-2e562beaa347?,allowed
Whatâ€™s the processed food intake for c93d81a9-77d7-4924-8d12-94c9e870476d?,allowed
Give me the functional status (ADLs) for patient 9d9c8434-b326-4b3f-9fbd-a6a15cc19ceb.,allowed
What is the cognitive activity frequency for ID 1ed2d286-1005-4281-a65a-32f1dc5e3fd8?,allowed
Check the food security status for patient 667f9199-ee10-4082-9a24-d148e8747ece.,allowed
Whatâ€™s the social isolation risk for hospital ID ada4d5ff-616b-4298-8ddf-f15b5b465e4b?,allowed
What is the weight-loss attempt history for 58dd727f-97fb-4e66-97c3-e2805913e634?,allowed
Tell me the noise exposure level for 392136c7-216d-4d39-be4c-45dbaad1c8c5.,allowed
Whatâ€™s the vitamin supplement use for ID 33853404-fbca-4318-a0d6-321762918f60?,allowed
What is the herbal medicine usage for patient ee999ef4-71b8-473f-a233-5b03ff415f2c?,allowed
Find the tobacco cessation interest for 7b549b93-4d27-41da-8928-992ab8338991.,allowed
What is the alcohol withdrawal risk for patient 45258674-7633-423d-a95d-0eb8c690ac32?,allowed
Whatâ€™s the yoga or meditation frequency for ID 1f2b8fbe-363b-4bae-a918-96c05b036776?,allowed
Has patient 878e15bd-20a0-4dfe-90a1-7884be8de1a2 been adherent to their daily medication schedule?,allowed
What was the recorded clinical response to the first round of treatment for ID 7403743d-8ae8-4d5e-953d-12162f288c39?,allowed
Are there any notes on non-compliance regarding physical therapy for ID 0e6e78ff-576d-4ad4-ba7d-a304040dd573?,allowed
Check if f4be2ec2-e432-4c8b-9c9e-da195b205df6 reported any adverse drug reactions last month.,allowed
Whatâ€™s the patient-reported improvement score for a83244ba-e80b-4acd-a281-387fe2c808a1?,allowed
Was the recent dosage adjustment successful for identifier bb3351df-341c-469e-b228-852d4cfe9c08?,allowed
How many missed doses were recorded in the last log for ID 280d710d-366c-419e-a96e-59da6a52fea8?,allowed
Did patient 3596729f-c28f-4426-9f6b-1a6ccaf91181 achieve remission according to the latest labs?,allowed
What is the tolerance level for the current chemotherapy regimen for 7ce94649-8557-4557-b602-6372363a0e01?,allowed
Is there evidence of treatment fatigue documented for ID 04461243-e0eb-4160-b3c6-8ecfd5b449ca?,allowed
What was the follow-up appointment attendance rate for 8d9461c8-9300-4a4a-ab16-af53467d0ff4?,allowed
Did the patient under ID deca833c-1d2b-4b80-ba21-8c285ef9f448 report symptom relief after the injection?,allowed
What is the compliance status for the CPAP machine usage for record 7feb7a9e-5661-4017-a656-641e374902d0?,allowed
Were there any contraindications found during the treatment of 98690d56-d349-4ed4-8a4d-9ae9889f1252?,allowed
Has the pain interference score decreased for the person with ID b6792f37-f6fa-4e8a-8657-937be9dc9b73?,allowed
What's the refill history consistency for the maintenance meds of ID 7272acfb-3404-4937-8264-47cf6a99f6d4?,allowed
Did cc7eb1c2-6b02-443d-a2b9-6d6645d2b3fe experience any rebound symptoms after stopping the medication?,allowed
What is the overall treatment satisfaction rating for patient 77f6f0f8-39d8-4dd8-94e1-2ab3689cdf5b?,allowed
Was a therapeutic failure noted for the previous antibiotic course of feee2a01-9235-43ca-89f3-2cb1a4dd37c4?,allowed
Check the lifestyle modification compliance for patient f12f6e73-51fa-449b-b7dd-685506e7fbdd.,allowed
What was the recovery time post-surgery for the individual with ID 855e810a-3c12-43e3-816c-d03cad6d6d87?,allowed
Are there records of self-discontinuation of meds for ID fa8d19ee-d6ab-491a-9f05-a762f5dca896?,allowed
What is the wound healing progress for patient 072f566c-fefa-4174-9d1b-cce89ba40a41?,allowed
Did 80319da4-2926-4510-b26d-8ece809bc3ad show biochemical response to the new statin?,allowed
What is the rehabilitation goal achievement status for ID 1b351dc0-166d-4af2-9067-53928f9726d6?,allowed
Were there any psychological barriers to treatment noted for f194ba1c-7cdf-46b5-9aca-50607c3c7021?,allowed
Check the INR stability for the patient on anticoagulants under ID 023473cb-b63f-4ea8-b0f3-709b9aefafa3.,allowed
Did b2cf76a5-e7bc-4c4d-bc68-cee1119b0c1f report any financial barriers to filling prescriptions?,allowed
